	t	x	y
	639	8.50625e+06	10492.7
	640	8.48589e+06	10623.1
	641	8.46519e+06	10753.8
	642	8.44414e+06	10884.6
	643	8.42276e+06	11015.7
	644	8.40105e+06	11146.9
	645	8.37902e+06	11278.2
	646	8.35667e+06	11409.6
	647	8.33402e+06	11541
	648	8.31107e+06	11672.4
	649	8.28783e+06	11803.7
	650	8.2643e+06	11934.9
	651	8.24049e+06	12065.9
	652	8.2164e+06	12196.8
	653	8.19205e+06	12327.4
	654	8.16743e+06	12457.7
	655	8.14256e+06	12587.7
	656	8.11744e+06	12717.4
	657	8.09207e+06	12846.6
	658	8.06647e+06	12975.4
	659	8.04063e+06	13103.6
	660	8.01456e+06	13231.4
	661	7.98827e+06	13358.5
	662	7.96177e+06	13485.1
	663	7.93505e+06	13611
	664	7.90813e+06	13736.1
	665	7.88101e+06	13860.5
	666	7.8537e+06	13984.2
	667	7.8262e+06	14107
	668	7.79851e+06	14228.9
	669	7.77065e+06	14349.9
	670	7.74261e+06	14470
	671	7.7144e+06	14589.1
	672	7.68604e+06	14707.2
	673	7.65752e+06	14824.2
	674	7.62884e+06	14940.2
	675	7.60002e+06	15055
	676	7.57107e+06	15168.6
	677	7.54197e+06	15281.1
	678	7.51275e+06	15392.3
	679	7.4834e+06	15502.3
	680	7.45393e+06	15611
	681	7.42435e+06	15718.4
	682	7.39466e+06	15824.4
	683	7.36487e+06	15929.1
	684	7.33497e+06	16032.4
	685	7.30499e+06	16134.2
	686	7.27492e+06	16234.6
	687	7.24476e+06	16333.5
	688	7.21453e+06	16431
	689	7.18422e+06	16526.9
	690	7.15385e+06	16621.3
	691	7.12341e+06	16714.1
	692	7.09292e+06	16805.3
	693	7.06237e+06	16895
	694	7.03178e+06	16983.1
	695	7.00115e+06	17069.5
	696	6.97047e+06	17154.3
	697	6.93976e+06	17237.5
	698	6.90903e+06	17319
	699	6.87827e+06	17398.8
	700	6.84749e+06	17477
	701	6.86841e+06	12327.9
	702	6.88787e+06	12422.4
	703	6.90592e+06	12517.4
	704	6.92258e+06	12612.9
	705	6.93786e+06	12708.9
	706	6.95181e+06	12805.2
	707	6.96445e+06	12901.9
	708	6.9758e+06	12998.8
	709	6.98591e+06	13096.1
	710	6.99478e+06	13193.5
	711	7.00246e+06	13291.1
	712	7.00898e+06	13388.9
	713	7.01436e+06	13486.7
	714	7.01863e+06	13584.5
	715	7.02182e+06	13682.4
	716	7.02396e+06	13780.2
	717	7.02508e+06	13877.9
	718	7.0252e+06	13975.5
	719	7.02436e+06	14073
	720	7.02258e+06	14170.2
	721	7.0199e+06	14267.1
	722	7.01632e+06	14363.8
	723	7.01189e+06	14460.1
	724	7.00663e+06	14556.1
	725	7.00057e+06	14651.6
	726	6.99372e+06	14746.7
	727	6.98611e+06	14841.3
	728	6.97778e+06	14935.4
	729	6.96873e+06	15028.9
