	t	x	y
	786	2.85681e+06	14538.8
	787	2.84759e+06	14500.7
	788	2.83849e+06	14462.8
	789	2.82951e+06	14425
	790	2.82065e+06	14387.4
	791	2.81191e+06	14349.9
	792	2.80328e+06	14312.6
	793	2.79478e+06	14275.4
	794	2.7864e+06	14238.4
	795	2.77815e+06	14201.5
	796	2.77002e+06	14164.8
	797	2.76202e+06	14128.3
	798	2.75414e+06	14091.9
	799	2.74639e+06	14055.7
	800	2.73878e+06	14019.6
	801	2.73129e+06	13983.7
	802	2.72394e+06	13948
	803	2.71673e+06	13912.5
	804	2.70965e+06	13877.1
	805	2.70271e+06	13841.9
	806	2.69591e+06	13806.9
	807	2.68925e+06	13772.1
	808	2.68274e+06	13737.4
	809	2.67637e+06	13703
	810	2.67015e+06	13668.7
	811	2.66408e+06	13634.6
	812	2.65817e+06	13600.7
	813	2.65241e+06	13567
	814	2.64681e+06	13533.4
	815	2.64137e+06	13500.1
	816	2.6361e+06	13467
	817	2.63099e+06	13434.1
	818	2.62605e+06	13401.3
	819	2.62128e+06	13368.8
	820	2.61669e+06	13336.5
	821	2.61228e+06	13304.4
	822	2.60805e+06	13272.5
	823	2.60401e+06	13240.8
	824	2.60016e+06	13209.4
	825	2.5965e+06	13178.1
	826	2.59303e+06	13147.1
	827	2.58977e+06	13116.3
	828	2.58671e+06	13085.8
	829	2.58386e+06	13055.4
	830	2.58123e+06	13025.3
	831	2.57881e+06	12995.5
	832	2.57662e+06	12965.8
	833	2.57466e+06	12936.4
	834	2.57292e+06	12907.3
	835	2.57143e+06	12878.4
	836	2.57018e+06	12849.8
	837	2.56918e+06	12821.4
	838	2.56843e+06	12793.3
	839	2.56794e+06	12765.5
	840	2.56772e+06	12737.9
	841	2.56776e+06	12710.6
	842	2.56809e+06	12683.5
	843	2.5687e+06	12656.8
	844	2.5696e+06	12630.3
	845	2.5708e+06	12604.1
	846	2.5723e+06	12578.2
	847	2.57411e+06	12552.7
	848	2.57625e+06	12527.4
	849	2.5787e+06	12502.4
	850	2.58149e+06	12477.7
	851	2.58462e+06	12453.4
	852	2.5881e+06	12429.4
	853	2.59193e+06	12405.7
	854	2.59613e+06	12382.3
	855	2.6007e+06	12359.3
	856	2.60566e+06	12336.7
	857	2.611e+06	12314.3
	858	2.61674e+06	12292.4
	859	2.62288e+06	12270.8
	860	2.62944e+06	12249.6
	861	2.63643e+06	12228.8
	862	2.64385e+06	12208.3
	863	2.65171e+06	12188.2
	864	2.66002e+06	12168.6
	865	2.6688e+06	12149.3
	866	2.67804e+06	12130.5
	867	2.68777e+06	12112.1
	868	2.69798e+06	12094.1
	869	2.7087e+06	12076.6
	870	2.71992e+06	12059.5
	871	2.73166e+06	12042.9
	872	2.74392e+06	12026.7
	873	2.75673e+06	12011
	874	2.77008e+06	11995.8
	875	2.78398e+06	11981.1
	876	2.79845e+06	11966.8
	877	2.81349e+06	11953.1
	878	2.82911e+06	11939.9
	879	2.84533e+06	11927.3
	880	2.86214e+06	11915.2
	881	2.87956e+06	11903.6
	882	2.89759e+06	11892.6
	883	2.91624e+06	11882.2
	884	2.93552e+06	11872.3
	885	2.95544e+06	11863.1
	886	2.976e+06	11854.4
	887	2.99721e+06	11846.4
	888	3.01906e+06	11839
	889	3.04158e+06	11832.2
	890	3.06476e+06	11826.1
	891	3.0886e+06	11820.7
	892	3.11311e+06	11815.9
	893	3.13828e+06	11811.8
	894	3.16413e+06	11808.4
	895	3.19066e+06	11805.7
	896	3.21785e+06	11803.8
	897	3.24571e+06	11802.5
	898	3.27424e+06	11802.1
	899	3.30344e+06	11802.3
	900	3.3333e+06	11803.4
	901	3.36381e+06	11805.2
	902	3.39498e+06	11807.8
	903	3.42679e+06	11811.2
	904	3.45923e+06	11815.5
	905	3.49231e+06	11820.5
	906	3.526e+06	11826.4
	907	3.56029e+06	11833.2
	908	3.59518e+06	11840.8
	909	3.63064e+06	11849.3
	910	3.66667e+06	11858.6
	911	3.70325e+06	11868.9
	912	3.74036e+06	11880.1
	913	3.77798e+06	11892.1
	914	3.81609e+06	11905.1
	915	3.85467e+06	11919
